,날짜,BDI,WS
491,2012-05-10,1146.8550831737682,51.81891230137799
492,2012-05-11,1146.0,57.5
493,2012-05-12,1145.4799564040466,63.12468870908202
494,2012-05-13,1145.294856779209,67.03619176821114
495,2012-05-14,1145.4447329943864,69.17851395924579
496,2012-05-15,1145.6766461386003,69.55165528218605
497,2012-05-16,1144.4729627459728,68.15561573703188
498,2012-05-17,1141.5807439055254,64.99039532378326
499,2012-05-18,1137.0,60.0
500,2012-05-19,1130.7306998811691,54.96396059264931
501,2012-05-20,1122.7728746972607,51.32584367405693
502,2012-05-21,1113.1265140655314,49.14164328666313
503,2012-05-22,1101.798642126859,48.41135943046792
504,2012-05-23,1088.831403726503,49.13499210547127
505,2012-05-24,1074.2318230053402,51.312541311673186
506,2012-05-25,1058.0,55.0
507,2012-05-26,1040.1356346005946,58.559635477143104
508,2012-05-27,1020.6390269170117,60.68967275535178
509,2012-05-28,999.510076912622,61.334118883699695
510,2012-05-29,977.2453000471244,60.49297386218686
511,2012-05-30,956.8237890787118,58.16623769081327
512,2012-05-31,938.7420594670825,54.353910369578934
513,2012-06-01,923.0,49.0
514,2012-06-02,909.597944314175,43.79431898709038
515,2012-06-03,898.5355587728966,40.09072834496087
516,2012-06-04,889.8129545884015,37.945219972095344
517,2012-06-05,883.4031849840135,37.35779386849378
518,2012-06-06,879.144569299672,38.328450034156184
519,2012-06-07,877.0101607587002,40.85718846908256
520,2012-06-08,877.0,45.0
521,2012-06-09,879.1139651068659,49.035400555953395
522,2012-06-10,883.3521779960033,51.57785102635021
523,2012-06-11,889.7145980285105,52.571360584463335
524,2012-06-12,897.9480368828046,52.01592923029278
525,2012-06-13,906.533364629386,49.91155696383854
526,2012-06-14,915.2173929466718,46.25824378510062
527,2012-06-15,924.0,41.0
528,2012-06-16,932.8815512933567,35.971613997306235
529,2012-06-17,941.8616813227558,32.67193600131474
530,2012-06-18,950.9405119228591,31.156955706104554
531,2012-06-19,959.9089970942025,31.426673111675665
532,2012-06-20,967.51286084,33.48108821802808
533,2012-06-21,973.5430571607869,37.32020102516178
534,2012-06-22,978.0,43.0
535,2012-06-23,980.8824475273293,48.470351710157274
536,2012-06-24,982.1916415730848,52.017053524787435
537,2012-06-25,981.9271681938297,53.584116976967245
538,2012-06-26,980.882253861081,53.171542066696716
539,2012-06-27,983.8162574039401,50.77932879397586
540,2012-06-28,991.522405293923,46.40747715880464
541,2012-06-29,1004.0,40.0
542,2012-06-30,1021.251134115262,33.679518620131525
543,2012-07-01,1043.2737150466178,29.232731354670218
544,2012-07-02,1070.0684403250975,26.715625364799195
545,2012-07-03,1100.248177319187,26.128200650518448
546,2012-07-04,1125.4901302397977,27.470457211827977
547,2012-07-05,1144.4071664554144,30.74239504872778
548,2012-07-06,1157.0,36.0
549,2012-07-07,1163.2664887716664,41.19101987321043
550,2012-07-08,1163.208774872302,44.599117508617724
551,2012-07-09,1156.8261442679434,46.16830706743971
552,2012-07-10,1144.9748016118199,45.89858854967642
553,2012-07-11,1132.791974823304,43.78996195532784
554,2012-07-12,1121.133868555624,39.842427284393956
555,2012-07-13,1110.0,34.0
556,2012-07-14,1099.391817582773,28.285379785981373
557,2012-07-15,1089.307872877602,24.385359104924742
558,2012-07-16,1079.7486486932667,22.355922493704895
559,2012-07-17,1070.5149773826106,22.197069952321833
560,2012-07-18,1060.411853062692,23.90880148077555
561,2012-07-19,1049.240108086353,27.491117079066058
562,2012-07-20,1037.0,33.0
563,2012-07-21,1023.6907561644148,38.4218946403314
564,2012-07-22,1009.3131492188156,42.079144913654204
565,2012-07-23,993.8669216167964,43.915767567161744
566,2012-07-24,977.5888966204011,43.93176260085403
567,2012-07-25,961.9000138018954,42.12713001473107
568,2012-07-26,947.0370964233229,38.50186980879284
569,2012-07-27,933.0,33.0
570,2012-07-28,919.7891579859779,27.6157282805026
571,2012-07-29,907.4041369272056,24.007370444214512
572,2012-07-30,895.8450813083666,22.230908474175095
573,2012-07-31,884.992224129981,22.286342370384347
574,2012-08-01,874.1269633951692,24.173672132842277
575,2012-08-02,863.1295321044511,27.89289776154888
576,2012-08-03,852.0,33.5
577,2012-08-04,840.7381578552959,39.050731017411074
578,2012-08-05,829.344214896859,42.93672744397262
579,2012-08-06,817.8181013825155,45.10200853618876
580,2012-08-07,806.2334509170396,45.54657429405954
581,2012-08-08,795.0320651290721,44.270424717584916
582,2012-08-09,784.2875776233866,41.273559806764915
583,2012-08-10,774.0,36.5
584,2012-08-11,764.169297458862,31.76240098348188
585,2012-08-12,754.7955048000229,28.537541073805116
586,2012-08-13,745.8786104234657,26.881399832569215
587,2012-08-14,737.5251459747309,26.793977259774195
588,2012-08-15,730.3743013270607,28.275273355420055
589,2012-08-16,724.5326081259948,31.325288119506787
590,2012-08-17,720.0,36.0
591,2012-08-18,716.7766760636769,40.58773281818934
592,2012-08-19,714.8624372024249,43.712681083158124
593,2012-08-20,714.2573497877772,45.31886634694073
594,2012-08-21,714.7587899102863,45.40628860953716
595,2012-08-22,715.151014113264,43.974947870947425
596,2012-08-23,715.2313984872624,41.0248441311715
597,2012-08-24,715.0,36.5
598,2012-08-25,714.4566477483207,32.07233698356397
599,2012-08-26,713.6015126353808,29.077912246737995
600,2012-08-27,712.4345376934615,27.572703179731484
601,2012-08-28,710.9220867741632,27.556709782544438
602,2012-08-29,708.8623429870883,29.029932055176857
603,2012-08-30,706.2216701838367,31.992369997628746
604,2012-08-31,703.0,36.5
605,2012-09-01,699.1975375288046,40.971675296550735
606,2012-09-02,694.814077677024,44.16210746214049
607,2012-09-03,689.8496888090667,46.01532010666936
608,2012-09-04,684.4026752626814,46.531313230137336
609,2012-09-05,679.0628630643572,45.71008683254442
610,2012-09-06,673.9285565518422,43.55164091389061
611,2012-09-07,669.0,40.0
