,날짜,OIL_CL,OIL_DU,OIL_BRT
389,2008-04-28,118.75,103.18,116.74
390,2008-04-29,115.63,103.65,113.43
391,2008-04-30,113.46,103.52,111.36
392,2008-05-01,115.42445775224891,106.41011301906671,113.4720557294625
393,2008-05-02,116.32,108.56,114.56
394,2008-05-03,116.48572613114777,108.70499453090956,114.76031074074348
395,2008-05-04,117.66836210403899,109.99686994651825,116.06861429997852
396,2008-05-05,119.97,111.67,117.99
397,2008-05-06,121.84,113.64,120.31
398,2008-05-07,123.53,115.48,122.32
399,2008-05-08,123.69,115.74,122.84
400,2008-05-09,125.96,115.22,125.4
401,2008-05-10,126.06599220388759,116.85307323578704,125.02042553793277
402,2008-05-11,125.88905964422659,117.17808894076686,124.81770023414953
403,2008-05-12,124.23,115.08,122.91
404,2008-05-13,125.8,117.96,124.1
405,2008-05-14,124.22,116.75,121.86
406,2008-05-15,124.12,117.49,121.25
407,2008-05-16,126.29,118.23,124.99
408,2008-05-17,126.85887291334784,117.31338704637415,123.11235047680383
409,2008-05-18,127.9386445520063,117.4410010080762,124.37785783205601
410,2008-05-19,127.05,116.93,125.06
411,2008-05-20,129.07,116.85,127.84
412,2008-05-21,133.17,117.63,132.7
413,2008-05-22,130.81,118.92,130.51
414,2008-05-23,132.19,120.57,131.57
415,2008-05-24,131.76368454228052,118.90592537846037,130.64517381363268
416,2008-05-25,131.62341932317915,119.18964802450193,130.24375915278543
417,2008-05-26,131.1912178440806,119.46868189915855,129.81580443834036
418,2008-05-27,128.85,120.16,128.31
419,2008-05-28,131.03,120.23,130.93
420,2008-05-29,126.62,119.38,126.89
421,2008-05-30,127.35,119.68,127.78
422,2008-05-31,126.2004618310945,120.79351970166665,127.49466927225552
423,2008-06-01,125.95326189509359,121.04442094801331,127.17839824885746
424,2008-06-02,127.76,122.29,128.02
425,2008-06-03,124.31,120.8,124.58
426,2008-06-04,122.3,120.14,122.1
427,2008-06-05,127.79,123.52,127.54
428,2008-06-06,138.54,132.13,137.69
429,2008-06-07,143.3762608210896,131.22595050807385,139.42158395269806
430,2008-06-08,141.94198511923082,131.61930719656948,139.06544211668273
431,2008-06-09,134.35,128.5,133.91
432,2008-06-10,131.31,127.17,131.02
433,2008-06-11,136.38,129.66,135.02
434,2008-06-12,136.74,129.71,136.09
435,2008-06-13,136.15070307311635,128.74161540763146,135.35440125718347
436,2008-06-14,135.55189926005275,128.63275561077668,135.73161015971866
437,2008-06-15,135.06684188721536,128.42251280733865,135.81321416022837
438,2008-06-16,134.61,127.57,134.71
439,2008-06-17,134.01,126.92,133.72
440,2008-06-18,136.68,128.35,136.44
441,2008-06-19,131.93,126.72,132.0
442,2008-06-20,135.36,127.52,134.86
443,2008-06-21,135.19811997521015,127.05246174851408,133.66144987307234
444,2008-06-22,135.4387122215084,127.26904040527245,133.6798715513342
445,2008-06-23,136.74,127.28,135.91
446,2008-06-24,137.0,127.28,134.33
447,2008-06-25,134.55,127.49,134.33
448,2008-06-26,139.64,127.46,139.83
449,2008-06-27,140.21,127.11,140.91
